# redshift    SN_Ia    SN_II    SN_Ibc
1.162123520078850447e+00 1.598258377887284143e-01 5.881219135478901183e-01 2.520522486633814951e-01
1.161824534782928575e+00 1.598529870628319360e-01 5.881029090560175865e-01 2.520441038811503942e-01
1.161525641198877912e+00 1.598801324361908693e-01 5.880839072946663082e-01 2.520359602691427114e-01
1.161226839278893364e+00 1.599072739028565004e-01 5.880649082680003970e-01 2.520278178291430193e-01
1.160928128975174500e+00 1.599344114568587993e-01 5.880459119801987322e-01 2.520196765629423297e-01
1.160629510239934215e+00 1.599615450922399207e-01 5.880269184354319778e-01 2.520115364723279905e-01
1.160330983025387619e+00 1.599886748030505124e-01 5.880079276378645803e-01 2.520033975590847963e-01
1.160032547283760263e+00 1.600158005833480501e-01 5.879889395916563233e-01 2.519952598249955433e-01
1.159734202967289463e+00 1.600429224272315043e-01 5.879699543009379026e-01 2.519871232718305376e-01
1.159435950028214757e+00 1.600700403287893814e-01 5.879509717698474525e-01 2.519789879013631939e-01
1.159137788418785009e+00 1.600971542821062465e-01 5.879319920025255497e-01 2.519708537153680927e-01
1.158839718091260185e+00 1.601242642812797101e-01 5.879130150031042223e-01 2.519627207156160953e-01
1.158541738997906467e+00 1.601513703204155981e-01 5.878940407757090592e-01 2.519545889038752873e-01
1.158243851090997811e+00 1.601784723936270916e-01 5.878750693244609860e-01 2.519464582819118670e-01
1.157946054322815055e+00 1.602055704950786641e-01 5.878561006534448463e-01 2.519383288514763786e-01
1.157648348645650360e+00 1.602326646189045911e-01 5.878371347667666891e-01 2.519302006143285810e-01
1.157350734011801219e+00 1.602597547592462535e-01 5.878181716685275671e-01 2.519220735722261240e-01
1.157053210373573338e+00 1.602868409102599645e-01 5.877992113628179860e-01 2.519139477269219940e-01
1.156755777683283526e+00 1.603139230661070336e-01 5.877802538537250099e-01 2.519058230801679010e-01
1.156458435893251702e+00 1.603410012209594282e-01 5.877612991453283753e-01 2.518976996337121688e-01
1.156161184955809995e+00 1.603680753690392979e-01 5.877423472416724026e-01 2.518895773892881884e-01
1.155864024823296754e+00 1.603951455045364849e-01 5.877233981468243940e-01 2.518814563486390656e-01
1.155566955448058097e+00 1.604222116216530991e-01 5.877044518648427696e-01 2.518733365135040203e-01
1.155269976782449470e+00 1.604492737146018810e-01 5.876855083997786222e-01 2.518652178856193857e-01
1.154973088778834756e+00 1.604763317776022602e-01 5.876665677556783818e-01 2.518571004667193303e-01
1.154676291389582499e+00 1.605033858048881268e-01 5.876476299365782641e-01 2.518489842585335814e-01
1.154379584567073236e+00 1.605304357907297308e-01 5.876286949464890608e-01 2.518408692627810419e-01
1.154082968263694831e+00 1.605574817293836665e-01 5.876097627894314446e-01 2.518327554811848890e-01
1.153786442431842252e+00 1.605845236151137168e-01 5.875908334694203150e-01 2.518246429154658572e-01
1.153490007023917574e+00 1.606115614421888549e-01 5.875719069904677960e-01 2.518165315673433491e-01
1.153193661992331531e+00 1.606385952048918486e-01 5.875529833565756865e-01 2.518084214385324371e-01
1.152897407289505960e+00 1.606656248975139867e-01 5.875340625717401233e-01 2.518003125307458068e-01
1.152601242995800135e+00 1.606926505148709716e-01 5.875151446395903143e-01 2.517922048455387141e-01
1.152305169211932157e+00 1.607196720520349675e-01 5.874962295635755005e-01 2.517840983843894764e-01
1.152009185623492415e+00 1.607466895025627673e-01 5.874773173482060740e-01 2.517759931492311587e-01
1.151713292182931614e+00 1.607737028603247464e-01 5.874584079977726025e-01 2.517678891419025677e-01
1.151417488842706449e+00 1.608007121186505461e-01 5.874395015169445733e-01 2.517597863644048251e-01
1.151121775555283389e+00 1.608277172713928616e-01 5.874205979100249886e-01 2.517516848185821221e-01
1.150826152273137115e+00 1.608547183127249924e-01 5.874016971810924748e-01 2.517435845061825050e-01
1.150530618948747641e+00 1.608817152369655112e-01 5.873827993341240727e-01 2.517354854289103328e-01
1.150235175534606746e+00 1.609087080384899171e-01 5.873639043730570775e-01 2.517273875884530332e-01
1.149939821983212429e+00 1.609356967116915837e-01 5.873450123018157942e-01 2.517192909864924832e-01
1.149644558247070236e+00 1.609626812509858118e-01 5.873261231243098734e-01 2.517111956247042315e-01
1.149349384278694597e+00 1.609896616508033618e-01 5.873072368444376412e-01 2.517031015047589970e-01
1.149054300030609488e+00 1.610166379055836816e-01 5.872883534660913174e-01 2.516950086283248900e-01
1.148759305455344659e+00 1.610436100097810408e-01 5.872694729931532409e-01 2.516869169970656905e-01
1.148464400505438299e+00 1.610705779578717745e-01 5.872505954294896524e-01 2.516788266126384621e-01
1.148169585133438142e+00 1.610975417443409885e-01 5.872317207789612414e-01 2.516707374766977146e-01
1.147874859291899030e+00 1.611245013636653234e-01 5.872128490454342487e-01 2.516626495909004002e-01
1.147580222933383354e+00 1.611514568103316336e-01 5.871939802327678093e-01 2.516545629569005293e-01
1.147285676010463940e+00 1.611784080788357665e-01 5.871751143448149524e-01 2.516464775763492812e-01
1.146991218475719609e+00 1.612053551636810356e-01 5.871562513854232668e-01 2.516383934508956699e-01
1.146696850281736069e+00 1.612322980593826616e-01 5.871373913584321258e-01 2.516303105821852126e-01
1.146402571646316648e+00 1.612592367615179045e-01 5.871185342669374974e-01 2.516222289715446259e-01
1.146108382591000119e+00 1.612861712652416124e-01 5.870996801143308907e-01 2.516141486204275246e-01
1.145814282743573109e+00 1.613131015641159904e-01 5.870808289051187012e-01 2.516060695307651973e-01
1.145520272056654187e+00 1.613400276517883702e-01 5.870619806437481492e-01 2.515979917044635084e-01
1.145226350482868583e+00 1.613669495214407612e-01 5.870431353349914172e-01 2.515899151435677661e-01
1.144932517974850628e+00 1.613938671670570035e-01 5.870242929830601364e-01 2.515818398498829156e-01
1.144638774485243315e+00 1.614207805829771802e-01 5.870054535919159155e-01 2.515737658251068209e-01
1.144345119966695634e+00 1.614476897637171782e-01 5.869866171653979059e-01 2.515656930708848327e-01
1.144051554371866342e+00 1.614745947038801754e-01 5.869677837072838633e-01 2.515576215888359335e-01
1.143758077653421967e+00 1.615014953981266377e-01 5.869489532213113536e-01 2.515495513805620087e-01
1.143464689764038145e+00 1.615283918411189457e-01 5.869301257112166104e-01 2.515414824476642774e-01
1.143171390656396724e+00 1.615552840275338853e-01 5.869113011807263192e-01 2.515334147917398511e-01
1.142878180283189993e+00 1.615821719520607880e-01 5.868924796335573957e-01 2.515253484143817331e-01
1.142585058597115788e+00 1.616090556093957298e-01 5.868736610734229808e-01 2.515172833171812616e-01
1.142292025550882384e+00 1.616359349942451118e-01 5.868548455040283329e-01 2.515092195017264443e-01
1.141999081097203605e+00 1.616628101013200813e-01 5.868360329290759347e-01 2.515011569696039562e-01
1.141706225831821575e+00 1.616896809279149139e-01 5.868172233504594937e-01 2.514930957216255369e-01
1.141413459168640676e+00 1.617165474673999681e-01 5.867984167728199640e-01 2.514850357597799846e-01
1.141120780965491521e+00 1.617434097140492966e-01 5.867796132001654730e-01 2.514769770857852027e-01
1.140828191175122130e+00 1.617702676606025680e-01 5.867608126375781774e-01 2.514689197018192268e-01
1.140535689750285631e+00 1.617971213005138242e-01 5.867420150896403008e-01 2.514608636098458194e-01
1.140243276643742698e+00 1.618239706280253098e-01 5.867232205603821749e-01 2.514528088115923765e-01
1.139950951808265778e+00 1.618508156377277962e-01 5.867044290535904372e-01 2.514447553086816556e-01
1.139658715196632643e+00 1.618776563243575217e-01 5.866856405729496959e-01 2.514367031026927268e-01
1.139366566761630173e+00 1.619044926827229725e-01 5.866668551220938221e-01 2.514286521951830666e-01
1.139074506456052793e+00 1.619313247077407703e-01 5.866480727045814136e-01 2.514206025876777884e-01
1.138782534232704036e+00 1.619581523943877666e-01 5.866292933239284357e-01 2.514125542816836312e-01
1.138490650044394981e+00 1.619849757376379817e-01 5.866105169836534072e-01 2.514045072787086110e-01
1.138198853843945146e+00 1.620117947325686036e-01 5.865917436872020163e-01 2.513964615802294356e-01
1.137907146323164698e+00 1.620386093770592728e-01 5.865729734360585201e-01 2.513884171868822071e-01
1.137615526823683387e+00 1.620654196644585598e-01 5.865542062348789720e-01 2.513803741006624404e-01
1.137323995179820413e+00 1.620922255891138752e-01 5.865354420876203179e-01 2.513723323232658347e-01
1.137032551344427489e+00 1.621190271436208363e-01 5.865166809994654118e-01 2.513642918569137241e-01
1.136741195270361882e+00 1.621458243213770023e-01 5.864979229750360012e-01 2.513562527035868577e-01
1.136449926910488628e+00 1.621726171167069963e-01 5.864791680183050193e-01 2.513482148649878734e-01
1.136158746217684978e+00 1.621994055243475563e-01 5.864604161329567411e-01 2.513401783426957303e-01
1.135867653144830625e+00 1.622261895392215214e-01 5.864416673225448795e-01 2.513321431382335436e-01
1.135576647644818360e+00 1.622529691563213694e-01 5.864229215905749637e-01 2.513241092531035559e-01
1.135285729670546973e+00 1.622797443706709697e-01 5.864041789405303184e-01 2.513160766887986841e-01
1.134994899174921912e+00 1.623065151773172010e-01 5.863854393758779482e-01 2.513080454468048508e-01
1.134704156541117781e+00 1.623332815730581247e-01 5.863667028988592822e-01 2.513000155280825654e-01
1.134413501829037330e+00 1.623600435540991926e-01 5.863479695121305291e-01 2.512919869337702505e-01
1.134122934463604127e+00 1.623868011139170398e-01 5.863292392202580361e-01 2.512839596658248964e-01
1.133832454397756040e+00 1.624135542460750925e-01 5.863105120277474214e-01 2.512759337261774584e-01
1.133542061584438487e+00 1.624403029433162948e-01 5.862917879396785104e-01 2.512679091170050838e-01
1.133251755976606212e+00 1.624670471996401411e-01 5.862730669602518319e-01 2.512598858401079438e-01
1.132961537527221951e+00 1.624937870097597770e-01 5.862543490931680923e-01 2.512518638970720475e-01
1.132671406189255103e+00 1.625205223686811973e-01 5.862356343419231619e-01 2.512438432893956408e-01
1.132381361915685725e+00 1.625472532717061325e-01 5.862169227098056323e-01 2.512358240184881519e-01
1.132091404659500533e+00 1.625739797142378706e-01 5.861982142000334850e-01 2.512278060857286444e-01
1.131801534532685949e+00 1.626007016921306170e-01 5.861795088155085098e-01 2.512197894923607899e-01
1.131511752229025447e+00 1.626274192038176802e-01 5.861608065573274962e-01 2.512117742388546571e-01
1.131222056810966992e+00 1.626541322419577107e-01 5.861421074306295553e-01 2.512037603274127062e-01
1.130932448231525944e+00 1.626808408009921825e-01 5.861234114393054639e-01 2.511957477597023258e-01
1.130642926443730767e+00 1.627075448732922258e-01 5.861047185886953947e-01 2.511877365380123517e-01
1.130353491400614141e+00 1.627342444526165832e-01 5.860860288831684084e-01 2.511797266642150084e-01
1.130064143055218295e+00 1.627609395336737097e-01 5.860673423264283199e-01 2.511717181398978593e-01
1.129774881360594563e+00 1.627876301115459279e-01 5.860486589219178200e-01 2.511637109665362244e-01
1.129485706269801160e+00 1.628143161814805673e-01 5.860299786729635807e-01 2.511557051455557965e-01
1.129196617735904518e+00 1.628409977387992036e-01 5.860113015828405381e-01 2.511477006783602306e-01
1.128907616501851230e+00 1.628676747820978210e-01 5.859926276525314615e-01 2.511396975653706343e-01
1.128618702090803172e+00 1.628943473059680513e-01 5.859739568858223224e-01 2.511316958082095430e-01
1.128329874105087560e+00 1.629210153045291820e-01 5.859552892868294949e-01 2.511236954086412121e-01
1.128041132497800580e+00 1.629476787705509966e-01 5.859366248606142635e-01 2.511156963688346844e-01
1.127752477222051519e+00 1.629743376974821245e-01 5.859179636117624046e-01 2.511076986907553321e-01
1.127463908230952994e+00 1.630009920798877188e-01 5.858993055440785414e-01 2.510997023760336844e-01
1.127175425477626280e+00 1.630276419129724763e-01 5.858806506609192111e-01 2.510917074261082571e-01
1.126887028915203759e+00 1.630542871920580006e-01 5.858619989655593496e-01 2.510837138423825943e-01
1.126598718496824025e+00 1.630809279125853273e-01 5.858433504611901821e-01 2.510757216262243796e-01
1.126310495264951195e+00 1.631075640745148492e-01 5.858247051478395750e-01 2.510677307776455480e-01
1.126022358225600817e+00 1.631341956708289576e-01 5.858060630304197103e-01 2.510597412987513044e-01
1.125734307198924533e+00 1.631608226963142116e-01 5.857874241125800019e-01 2.510517531911057310e-01
1.125446342138091582e+00 1.631874451429921047e-01 5.857687883999055378e-01 2.510437664571023575e-01
1.125158462996278974e+00 1.632140630042163143e-01 5.857501558970485966e-01 2.510357810987350891e-01
1.124870669726675043e+00 1.632406762746793361e-01 5.857315266077244287e-01 2.510277971175962075e-01
1.124582962282473009e+00 1.632672849496946410e-01 5.857129005352137430e-01 2.510198145150915883e-01
1.124295340616873640e+00 1.632938890250090203e-01 5.856942776824936026e-01 2.510118332924972662e-01
1.124007805493829615e+00 1.633204885000725248e-01 5.856756580499491438e-01 2.510038534499782203e-01
1.123720356548933985e+00 1.633470833703191960e-01 5.856570416407764768e-01 2.509958749889042440e-01
1.123432993251447520e+00 1.633736736297607961e-01 5.856384284591673595e-01 2.509878979110717334e-01
1.123145715554603852e+00 1.634002592713181545e-01 5.856198185100772724e-01 2.509799222186045453e-01
1.122858523411645715e+00 1.634268402877982751e-01 5.856012117985411880e-01 2.509719479136605091e-01
1.122571416775822506e+00 1.634534166736227034e-01 5.855826083284640937e-01 2.509639749979131751e-01
1.122284395600392060e+00 1.634799884240352719e-01 5.855640081031753263e-01 2.509560034727894018e-01
1.121997459838622424e+00 1.635065555346027766e-01 5.855454111257779592e-01 2.509480333396191254e-01
1.121710610546689857e+00 1.635331180058148814e-01 5.855268173959295996e-01 2.509400645982555189e-01
1.121423846848144334e+00 1.635596758314943333e-01 5.855082269179539001e-01 2.509320972505517111e-01
1.121137168432237541e+00 1.635862290063075375e-01 5.854896396955847626e-01 2.509241312981077554e-01
1.120850575252268833e+00 1.636127775227318171e-01 5.854710557340876420e-01 2.509161667431804577e-01
1.120564067261541563e+00 1.636393213743117248e-01 5.854524750379818121e-01 2.509082035877064909e-01
1.120277644413370410e+00 1.636658605557934354e-01 5.854338976109445536e-01 2.509002418332619277e-01
1.119991306661078490e+00 1.636923950626338331e-01 5.854153234561562114e-01 2.508922814812098445e-01
1.119705054483713491e+00 1.637189248927513052e-01 5.853967525750740641e-01 2.508843225321745751e-01
1.119418888222221575e+00 1.637454500442725447e-01 5.853781849690091743e-01 2.508763649867182255e-01
1.119132806925739132e+00 1.637719705106418511e-01 5.853596206425506487e-01 2.508684088468074447e-01
1.118846810547619697e+00 1.637984862858370971e-01 5.853410595999140043e-01 2.508604541142488986e-01
1.118560899041223911e+00 1.638249973620122535e-01 5.853225018465914031e-01 2.508525007913963156e-01
1.118275072359923294e+00 1.638515037333221902e-01 5.853039473866744613e-01 2.508445488800033485e-01
1.117989330457094033e+00 1.638780053951960636e-01 5.852853962233627305e-01 2.508365983814411782e-01
1.117703673668468234e+00 1.639045023456215111e-01 5.852668483580649728e-01 2.508286492963135439e-01
1.117418102684662129e+00 1.639309945840980720e-01 5.852483037911312413e-01 2.508207016247705479e-01
1.117132616348610830e+00 1.639574821033165930e-01 5.852297625276783322e-01 2.508127553690049916e-01
1.116847214613723605e+00 1.639839648979575792e-01 5.852112245714297112e-01 2.508048105306127096e-01
1.116561897433419048e+00 1.640104429599890390e-01 5.851926899280076588e-01 2.507968671120032744e-01
1.116276664761122417e+00 1.640369162834383887e-01 5.851741586015930530e-01 2.507889251149684751e-01
1.115991516550266294e+00 1.640633848636594005e-01 5.851556305954382919e-01 2.507809845409021410e-01
1.115706453426377864e+00 1.640898486993086214e-01 5.851371059104839567e-01 2.507730453902073942e-01
1.115421475563413756e+00 1.641163077882166199e-01 5.851185845482482772e-01 2.507651076635349918e-01
1.115136582031326595e+00 1.641427621243077561e-01 5.851000665129845180e-01 2.507571713627076426e-01
1.114851772783582273e+00 1.641692117015362273e-01 5.850815518089246270e-01 2.507492364895391179e-01
1.114567047773652897e+00 1.641956565124315648e-01 5.850630404412978658e-01 2.507413030462705139e-01
1.114282406955020566e+00 1.642220965514287756e-01 5.850445324139998959e-01 2.507333710345713840e-01
1.113997850281175372e+00 1.642485318140905204e-01 5.850260277301365663e-01 2.507254404557728300e-01
