#z purity num_SNIa
0.0 0.966365873667 2356
0.1 0.982374442942 19619
0.2 0.984872373972 46224
0.3 0.992042395693 58967
0.4 0.997435465454 53284
0.5 0.997545800207 28859
0.6 0.994827151148 7885
0.7 0.995319812793 638
