# number of detected SNeII per unit of redshift interval 
#  z_random 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
6.263818186e-03 3.200991146e+01 3.335050159e+01 4.082052380e+01
6.336064291e-03 3.275606874e+01 3.414523136e+01 4.176991430e+01
6.408316835e-03 3.351097074e+01 3.494986199e+01 4.273035771e+01
6.480578629e-03 3.427465239e+01 3.576444393e+01 4.370189675e+01
6.552848069e-03 3.504710248e+01 3.658897846e+01 4.468451549e+01
6.625123953e-03 3.582831344e+01 3.742347067e+01 4.567820257e+01
6.697406660e-03 3.661829447e+01 3.826794355e+01 4.668296801e+01
6.769699448e-03 3.741708698e+01 3.912245458e+01 4.769886275e+01
6.841998687e-03 3.822465654e+01 3.998698013e+01 4.872584131e+01
6.914304378e-03 3.904100824e+01 4.086153879e+01 4.976390845e+01
6.986618460e-03 3.986616938e+01 4.174617296e+01 5.081309717e+01
7.058941068e-03 4.070014725e+01 4.264090366e+01 5.187341505e+01
7.131270133e-03 4.154292349e+01 4.354572433e+01 5.294483700e+01
7.203605660e-03 4.239450316e+01 4.446065354e+01 5.402736778e+01
7.275951128e-03 4.325493296e+01 4.538575461e+01 5.512106502e+01
7.348303583e-03 4.412418352e+01 4.632100915e+01 5.622588969e+01
7.420662504e-03 4.500225377e+01 4.726642909e+01 5.734183869e+01
7.493028902e-03 4.588916123e+01 4.822204643e+01 5.846893261e+01
7.565404759e-03 4.678493598e+01 4.918790673e+01 5.960720793e+01
7.637787088e-03 4.768954669e+01 5.016398932e+01 6.075662314e+01
7.710175893e-03 4.860299847e+01 5.115031281e+01 6.191718300e+01
7.782573694e-03 4.952532869e+01 5.214693066e+01 6.308893328e+01
7.854979446e-03 5.045652982e+01 5.315384785e+01 6.427186270e+01
7.927391679e-03 5.139658832e+01 5.417106282e+01 6.546595232e+01
7.999810423e-03 5.234550967e+01 5.519859458e+01 6.667120740e+01
8.072239611e-03 5.330335124e+01 5.623651836e+01 6.788769909e+01
8.144675287e-03 5.427006650e+01 5.728479683e+01 6.911536655e+01
8.217117451e-03 5.524566059e+01 5.834344860e+01 7.035421460e+01
8.289567616e-03 5.623015921e+01 5.941251464e+01 7.160427415e+01
8.362026747e-03 5.722358135e+01 6.049202865e+01 7.286556759e+01
8.434492374e-03 5.822589867e+01 6.158197288e+01 7.413805719e+01
8.506964499e-03 5.923711630e+01 6.268236594e+01 7.542174776e+01
8.579446094e-03 6.025728139e+01 6.379327219e+01 7.671669743e+01
8.651935198e-03 6.128637214e+01 6.491468097e+01 7.802287679e+01
8.724430805e-03 6.232437960e+01 6.604659551e+01 7.934027273e+01
