redshift, SNIa_rate
1.1832, 0.7205
1.1877, 0.7205
1.1921, 0.7205
1.1966, 0.7175
1.2011, 0.7175
1.2055, 0.7145
1.21, 0.7145
1.2502, 0.7056
1.2546, 0.7056
1.2591, 0.7056
1.2636, 0.7056
1.268, 0.7056
1.2725, 0.7026
1.277, 0.7026
1.2814, 0.7026
1.2859, 0.7026
1.2904, 0.6996
1.2948, 0.6996
1.2993, 0.6996
1.3038, 0.6966
1.3082, 0.6966
1.3127, 0.6966
1.3172, 0.6966
1.3216, 0.6937
1.3261, 0.6937
1.3306, 0.6936
1.335, 0.6936
1.3395, 0.6907
1.3439, 0.6907
1.3484, 0.6907
1.3529, 0.6877
1.3574, 0.6877
1.3618, 0.6877
1.3663, 0.6877
1.3708, 0.6846
1.3752, 0.6846
1.3797, 0.6846
1.3841, 0.6846
1.3886, 0.6817
1.3931, 0.6817
1.3976, 0.6817
1.402, 0.6787
1.4064, 0.6787
1.411, 0.6787
1.4154, 0.6787
1.4199, 0.6758
1.4243, 0.6758
1.4288, 0.6758
1.4333, 0.6758
1.4377, 0.6728
1.4422, 0.6728
1.4466, 0.6728
1.4511, 0.6728
1.4556, 0.6698
1.4601, 0.6698
1.4645, 0.6698
1.4689, 0.6698
1.4735, 0.6667
1.4779, 0.6667
1.4824, 0.6667
1.4868, 0.6667
1.4913, 0.6639
1.4958, 0.6638
1.5003, 0.6638
1.5047, 0.6609
1.5091, 0.6609
1.5137, 0.6609
1.5181, 0.6609
1.5226, 0.6579
1.5271, 0.6579
1.5314, 0.6579
1.536, 0.6579
1.5405, 0.6549
1.5449, 0.6549
1.5493, 0.6549
1.5539, 0.6549
1.5583, 0.6519
1.5628, 0.6519
1.5673, 0.6519
1.5716, 0.6519
1.5762, 0.6489
1.5807, 0.6489
1.5851, 0.6489
1.5896, 0.6489
1.5941, 0.646
1.5985, 0.646
1.603, 0.6459
1.6075, 0.6459
1.6118, 0.6459
1.6164, 0.643
1.6209, 0.643
1.6253, 0.643
1.6298, 0.64
1.6343, 0.64
1.6387, 0.64
1.6432, 0.64
1.6477, 0.64
1.6521, 0.637
1.6566, 0.637
1.6611, 0.637
1.6655, 0.637
1.67, 0.637
1.7102, 0.6251
1.7146, 0.6251
1.7191, 0.6251
1.7236, 0.6251
1.728, 0.6251
1.7325, 0.6251
1.737, 0.6251
1.7414, 0.6221
1.7459, 0.6221
1.7504, 0.6221
1.7548, 0.6221
1.7593, 0.6221
1.7638, 0.6191
1.7682, 0.6191
1.7727, 0.6191
1.7772, 0.6191
1.7816, 0.616
1.7861, 0.616
1.7906, 0.616
1.795, 0.616
1.7995, 0.6131
1.804, 0.6131
1.8084, 0.6131
1.8129, 0.6131
1.8174, 0.6101
1.8218, 0.6101
1.8263, 0.6101
1.8308, 0.6101
1.8352, 0.6101
1.8397, 0.6072
1.8441, 0.6072
1.8486, 0.6071
1.8531, 0.6071
1.8576, 0.6071
1.862, 0.6042
1.8665, 0.6042
1.871, 0.6042
1.8754, 0.6042
1.8799, 0.604
1.8843, 0.6012
1.8888, 0.6012
1.8933, 0.6012
