# number of detected SNeIa per unit of redshift interval 
#  z_random 	 dn_dz_Graur
2.650101077e-01 5.924902539e+01
2.724932136e-01 5.961484312e+01
2.739947770e-01 5.979005267e+01
2.756874717e-01 6.026774039e+01
2.775425433e-01 6.038103823e+01
2.781873095e-01 6.048127478e+01
2.788478504e-01 6.086899064e+01
2.817193772e-01 6.097122110e+01
2.844944291e-01 6.200747868e+01
2.856464856e-01 6.210088155e+01
2.890108262e-01 6.218263178e+01
2.914120921e-01 6.278731085e+01
2.926328984e-01 6.292358444e+01
2.929040584e-01 6.310177272e+01
2.949702083e-01 6.316015367e+01
2.970534416e-01 6.327518969e+01
2.985275268e-01 6.335869917e+01
2.987883976e-01 6.406312476e+01
2.988365313e-01 6.434591052e+01
2.995968023e-01 6.432604983e+01
2.996606684e-01 6.479622227e+01
3.007737160e-01 6.483687644e+01
3.022184161e-01 6.498672558e+01
3.026242062e-01 6.574533650e+01
3.058785984e-01 6.590991120e+01
3.063018372e-01 6.613606653e+01
3.074598646e-01 6.621215937e+01
3.084759259e-01 6.624397134e+01
3.089908088e-01 6.628831336e+01
3.093159447e-01 6.639006293e+01
3.095797269e-01 6.659939720e+01
3.132970494e-01 6.729405873e+01
3.162488493e-01 6.726613042e+01
3.165620197e-01 6.740760097e+01
3.245724833e-01 6.818784227e+01
3.262814570e-01 6.820238867e+01
3.274882887e-01 6.820767358e+01
3.280963617e-01 6.810760140e+01
3.294464970e-01 6.798279315e+01
3.300421232e-01 6.793032380e+01
3.312924442e-01 6.827619061e+01
3.315041048e-01 6.884399800e+01
3.318600676e-01 6.881320446e+01
3.319344172e-01 6.877904023e+01
3.321594639e-01 6.874278814e+01
3.326228613e-01 6.876494436e+01
3.327535034e-01 6.927472597e+01
3.337974675e-01 6.937380829e+01
3.415902011e-01 6.933536341e+01
3.417072298e-01 6.931168976e+01
3.417634840e-01 6.917533377e+01
3.422146433e-01 6.917974702e+01
3.442262336e-01 6.902881944e+01
3.443406635e-01 6.921403179e+01
3.464628838e-01 6.920333504e+01
3.489767716e-01 6.955250176e+01
3.500768776e-01 6.962741594e+01
3.531691684e-01 6.973165320e+01
3.536221463e-01 6.995305348e+01
3.546048741e-01 7.006593382e+01
3.554199007e-01 7.000701327e+01
3.575028475e-01 7.022666507e+01
3.611172159e-01 7.033681145e+01
3.628035824e-01 7.036257992e+01
3.639264386e-01 7.059782237e+01
3.645280163e-01 7.183634785e+01
3.647428028e-01 7.191778147e+01
3.659581774e-01 7.204506616e+01
3.661424959e-01 7.199832384e+01
3.665188049e-01 7.201231938e+01
3.690761284e-01 7.219000314e+01
3.692152288e-01 7.242346319e+01
3.696035306e-01 7.261890673e+01
3.702553009e-01 7.266563900e+01
3.716491088e-01 7.261586396e+01
3.721969620e-01 7.268387358e+01
3.731456734e-01 7.264936717e+01
3.779793767e-01 7.265558471e+01
3.784571755e-01 7.262909062e+01
3.817566083e-01 7.265382975e+01
3.835578139e-01 7.255052408e+01
3.836362078e-01 7.246407010e+01
3.865646642e-01 7.251144895e+01
3.867284729e-01 7.231283507e+01
3.881765021e-01 7.214458692e+01
3.887007769e-01 7.273031008e+01
3.894018238e-01 7.270643751e+01
3.896276856e-01 7.274197307e+01
3.908698594e-01 7.258436153e+01
3.922890880e-01 7.249927933e+01
3.924731013e-01 7.254215617e+01
3.951635140e-01 7.268558571e+01
3.973345490e-01 7.273536967e+01
3.980278376e-01 7.291816671e+01
3.983731610e-01 7.279258546e+01
4.008008349e-01 7.281088387e+01
4.030007993e-01 7.284586932e+01
4.034320514e-01 7.268935870e+01
4.037054951e-01 7.356838832e+01
4.040078361e-01 7.360175888e+01
4.071502022e-01 7.345037698e+01
4.105033943e-01 7.331388576e+01
4.106373829e-01 7.317837622e+01
4.111886861e-01 7.326399927e+01
4.129655728e-01 7.323504290e+01
4.129704088e-01 7.326326986e+01
4.163638100e-01 7.330233812e+01
4.176280784e-01 7.333703433e+01
4.195616961e-01 7.326964940e+01
4.197940422e-01 7.299817029e+01
4.211854750e-01 7.280486299e+01
4.224254221e-01 7.288569660e+01
4.225540518e-01 7.222417095e+01
4.236013123e-01 7.211877229e+01
4.240588450e-01 7.174021302e+01
4.243162877e-01 7.173346777e+01
4.253794099e-01 7.140780605e+01
4.255128743e-01 7.143569660e+01
4.256362623e-01 7.142335459e+01
4.305253480e-01 7.142244965e+01
4.307237095e-01 7.129735155e+01
4.326312847e-01 7.109057881e+01
4.338558329e-01 7.078241661e+01
4.352497844e-01 7.088459022e+01
4.378144634e-01 7.042708389e+01
4.385730086e-01 7.029239988e+01
4.390718733e-01 7.008083057e+01
4.415247560e-01 6.998868570e+01
4.428928041e-01 7.005760696e+01
4.455270846e-01 7.008098873e+01
4.456989371e-01 7.008258411e+01
4.465036920e-01 6.987633476e+01
4.473350599e-01 6.994797213e+01
4.479349190e-01 7.005713674e+01
4.490700376e-01 7.011660901e+01
4.503647951e-01 6.985011585e+01
4.510333944e-01 6.955028321e+01
4.516090487e-01 6.961362961e+01
4.520335533e-01 6.938583964e+01
4.532037542e-01 6.941506247e+01
4.546619712e-01 6.939632689e+01
4.559599575e-01 6.985834126e+01
4.565663869e-01 6.976748169e+01
4.569336260e-01 6.979037161e+01
4.571894661e-01 6.917386897e+01
4.585957147e-01 6.901670444e+01
4.634330975e-01 6.863396448e+01
4.660081854e-01 6.838979043e+01
4.678314269e-01 6.843841372e+01
4.680986145e-01 6.861961903e+01
4.690607782e-01 6.850650052e+01
4.692343240e-01 6.854761381e+01
4.703087374e-01 6.797825817e+01
4.706788059e-01 6.781340189e+01
4.712766368e-01 6.809404000e+01
4.714068539e-01 6.808262642e+01
4.724402646e-01 6.778983714e+01
4.727709931e-01 6.766312736e+01
4.728595445e-01 6.791553957e+01
4.729677319e-01 6.789987469e+01
4.730697348e-01 6.773838888e+01
4.774644948e-01 6.774931442e+01
4.787709846e-01 6.744993343e+01
4.828795746e-01 6.709105652e+01
4.837212873e-01 6.645859551e+01
4.849070648e-01 6.601734900e+01
4.885373677e-01 6.591415705e+01
4.887238817e-01 6.576233429e+01
4.892414510e-01 6.552416855e+01
4.903422251e-01 6.535735676e+01
4.916360902e-01 6.534649283e+01
4.934139541e-01 6.506798028e+01
4.950772454e-01 6.439795769e+01
4.951191781e-01 6.431201582e+01
4.957503478e-01 6.381220444e+01
4.959074632e-01 6.388743010e+01
4.966931542e-01 6.391115765e+01
4.972485491e-01 6.356553108e+01
4.987234968e-01 6.291083924e+01
5.008594559e-01 6.253115973e+01
5.011699469e-01 6.251073654e+01
5.036731200e-01 6.239695754e+01
5.057939903e-01 6.222095725e+01
5.061873862e-01 6.233570411e+01
5.066206841e-01 6.085537588e+01
5.090552998e-01 6.011471573e+01
5.131607047e-01 5.977797300e+01
5.188562907e-01 5.960891039e+01
5.190498501e-01 5.961458448e+01
5.208666587e-01 5.937079960e+01
5.208871837e-01 5.942761345e+01
5.235085822e-01 5.918294212e+01
5.239314151e-01 5.819092024e+01
5.241619602e-01 5.767212951e+01
5.243123861e-01 5.746380296e+01
5.257257722e-01 5.722250423e+01
5.282021452e-01 5.494372243e+01
5.283806046e-01 5.437067263e+01
5.292832180e-01 5.413832691e+01
5.305967123e-01 5.120616781e+01
5.330278649e-01 5.107060412e+01
5.354971943e-01 5.037964803e+01
5.357887244e-01 5.004891347e+01
5.365926856e-01 4.975047424e+01
5.379479260e-01 4.961898494e+01
5.387059442e-01 4.962244849e+01
5.388208542e-01 4.879188205e+01
5.391764710e-01 4.841638614e+01
5.413936247e-01 4.590608176e+01
5.445980869e-01 4.516062509e+01
5.470471008e-01 4.451404094e+01
5.476874588e-01 4.151593961e+01
5.490473320e-01 4.128515303e+01
5.519525894e-01 4.107906738e+01
5.538324580e-01 4.091844645e+01
5.556754229e-01 3.993947148e+01
5.567606288e-01 3.875782704e+01
5.569807606e-01 3.874430056e+01
5.581589333e-01 3.786137950e+01
5.591902689e-01 3.719286237e+01
5.592981113e-01 3.646246428e+01
5.607239879e-01 3.642897831e+01
5.642195601e-01 3.551074499e+01
5.647542171e-01 3.453390859e+01
5.651983895e-01 3.340303393e+01
5.664448276e-01 3.284522927e+01
5.665444172e-01 3.253541135e+01
5.670365648e-01 3.219803833e+01
5.675668158e-01 3.206027125e+01
5.706109162e-01 3.075787564e+01
5.714546614e-01 2.939978897e+01
5.727290970e-01 2.882400015e+01
5.737816017e-01 2.852817884e+01
5.740978172e-01 2.810290412e+01
5.775697200e-01 2.762805958e+01
5.784107834e-01 2.685434519e+01
5.786463753e-01 2.665639029e+01
5.792754072e-01 2.571656054e+01
5.794060856e-01 2.532599703e+01
5.798212483e-01 2.532807893e+01
5.801501206e-01 2.512647553e+01
5.812253596e-01 2.478832444e+01
5.821709588e-01 2.472090151e+01
5.822173206e-01 2.385688615e+01
5.824425229e-01 2.368903938e+01
5.834298428e-01 2.315047491e+01
5.850414517e-01 2.315493286e+01
5.856747096e-01 2.293135704e+01
5.857370369e-01 2.277313185e+01
5.883308065e-01 2.228430536e+01
5.891834397e-01 2.190044595e+01
5.917288254e-01 2.081926469e+01
5.943197641e-01 2.022095476e+01
5.946847067e-01 2.001493988e+01
5.950237994e-01 1.775274981e+01
5.964198232e-01 1.731996501e+01
5.990870726e-01 1.653848271e+01
6.016940043e-01 1.463486824e+01
6.018632412e-01 1.414485355e+01
6.039283516e-01 1.408938535e+01
6.039409360e-01 1.389009698e+01
6.041592999e-01 1.261929993e+01
6.049225929e-01 1.121645732e+01
6.089090966e-01 1.121674611e+01
6.101444986e-01 1.122038246e+01
6.114844854e-01 1.122098901e+01
6.134760930e-01 1.086361014e+01
6.151335886e-01 1.077270419e+01
6.153186685e-01 9.869631424e+00
6.156131547e-01 9.603368390e+00
6.158493055e-01 9.424409439e+00
6.182760670e-01 9.324429453e+00
6.184374757e-01 8.977692737e+00
6.188605466e-01 8.979090697e+00
6.210372588e-01 8.084641388e+00
6.216334071e-01 7.662821409e+00
6.238048154e-01 7.590571059e+00
6.240880076e-01 7.614913236e+00
6.265574710e-01 7.616869634e+00
6.277073210e-01 7.622444864e+00
6.279242607e-01 7.122262443e+00
6.295522028e-01 7.050882190e+00
6.329738704e-01 6.212987465e+00
6.370777487e-01 5.329919967e+00
6.382629195e-01 5.334252822e+00
6.386450210e-01 4.776471380e+00
6.397662578e-01 4.351786705e+00
6.410866584e-01 4.273978555e+00
6.413189998e-01 3.997008895e+00
6.423771037e-01 3.997118967e+00
6.450963241e-01 3.234963862e+00
6.454854302e-01 3.119921464e+00
6.457829722e-01 3.121480784e+00
6.496501170e-01 3.004874664e+00
6.521642233e-01 2.641532892e+00
6.525235105e-01 2.143302446e+00
6.531793859e-01 2.056938842e+00
6.559460791e-01 1.751088135e+00
6.587231008e-01 1.462921844e+00
6.608264332e-01 1.463707042e+00
6.636702169e-01 1.265455108e+00
6.648043753e-01 1.266340712e+00
6.656255466e-01 1.182220646e+00
6.676548330e-01 1.011043544e+00
6.700087603e-01 1.014000055e+00
6.714519568e-01 1.014806280e+00
6.719564493e-01 7.776096919e-01
6.749192679e-01 7.807188387e-01
6.751591179e-01 6.058318780e-01
6.752593363e-01 4.816642562e-01
6.771775956e-01 3.605991765e-01
6.781403255e-01 3.618024258e-01
6.782979531e-01 3.621265447e-01
6.784088220e-01 3.621479554e-01
6.795550956e-01 1.824711143e-01
6.796285863e-01 1.825254444e-01
6.800265154e-01 1.826075143e-01
6.805354597e-01 1.843720498e-01
6.837643991e-01 1.845027689e-01
6.851028958e-01 0.000000000e+00
6.861018647e-01 0.000000000e+00
6.891537391e-01 0.000000000e+00
6.931146635e-01 0.000000000e+00
6.932653090e-01 0.000000000e+00
6.933399578e-01 0.000000000e+00
6.961408913e-01 0.000000000e+00
6.966923016e-01 0.000000000e+00
6.984973677e-01 0.000000000e+00
6.991844362e-01 0.000000000e+00
7.024164594e-01 0.000000000e+00
7.046237250e-01 0.000000000e+00
7.050845530e-01 0.000000000e+00
7.059877482e-01 0.000000000e+00
7.063503425e-01 0.000000000e+00
7.072785967e-01 0.000000000e+00
7.086636961e-01 0.000000000e+00
7.094103181e-01 0.000000000e+00
7.102032256e-01 0.000000000e+00
7.109653790e-01 0.000000000e+00
7.115706148e-01 0.000000000e+00
7.140342406e-01 0.000000000e+00
7.151228758e-01 0.000000000e+00
7.158751343e-01 0.000000000e+00
7.174931915e-01 0.000000000e+00
7.221501178e-01 0.000000000e+00
7.223884215e-01 0.000000000e+00
7.231381088e-01 0.000000000e+00
7.238190489e-01 0.000000000e+00
7.271408981e-01 0.000000000e+00
7.280138658e-01 0.000000000e+00
7.298303973e-01 0.000000000e+00
7.302211732e-01 0.000000000e+00
7.308485049e-01 0.000000000e+00
7.314344591e-01 0.000000000e+00
7.320403485e-01 0.000000000e+00
7.326266698e-01 0.000000000e+00
7.338698920e-01 0.000000000e+00
7.349116943e-01 0.000000000e+00
7.350563728e-01 0.000000000e+00
7.355664565e-01 0.000000000e+00
7.364484448e-01 0.000000000e+00
7.369909741e-01 0.000000000e+00
7.401753367e-01 0.000000000e+00
7.437068316e-01 0.000000000e+00
7.440962870e-01 0.000000000e+00
7.449033496e-01 0.000000000e+00
7.454974470e-01 0.000000000e+00
7.455880892e-01 0.000000000e+00
7.464109957e-01 0.000000000e+00
7.466868678e-01 0.000000000e+00
7.479215063e-01 0.000000000e+00
7.482187452e-01 0.000000000e+00
7.482791048e-01 0.000000000e+00
7.497602008e-01 0.000000000e+00
7.517311595e-01 0.000000000e+00
7.525117782e-01 0.000000000e+00
7.538201395e-01 0.000000000e+00
7.598133209e-01 0.000000000e+00
7.603108881e-01 0.000000000e+00
7.615081192e-01 0.000000000e+00
7.619748276e-01 0.000000000e+00
7.677012168e-01 0.000000000e+00
7.689638855e-01 0.000000000e+00
7.697246801e-01 0.000000000e+00
7.699680721e-01 0.000000000e+00
7.700245657e-01 0.000000000e+00
7.719171099e-01 0.000000000e+00
7.734204043e-01 0.000000000e+00
7.747677856e-01 0.000000000e+00
7.750620025e-01 0.000000000e+00
7.775382396e-01 0.000000000e+00
7.781388855e-01 0.000000000e+00
7.789075784e-01 0.000000000e+00
7.808055836e-01 0.000000000e+00
7.825698323e-01 0.000000000e+00
7.827209925e-01 0.000000000e+00
7.829293320e-01 0.000000000e+00
7.855450482e-01 0.000000000e+00
7.876038950e-01 0.000000000e+00
7.883452347e-01 0.000000000e+00
7.884962120e-01 0.000000000e+00
7.934601114e-01 0.000000000e+00
7.938902795e-01 0.000000000e+00
7.965208293e-01 0.000000000e+00
7.979137418e-01 0.000000000e+00
7.985507113e-01 0.000000000e+00
8.005618000e-01 0.000000000e+00
8.019380591e-01 0.000000000e+00
8.042985591e-01 0.000000000e+00
8.044673755e-01 0.000000000e+00
8.048339112e-01 0.000000000e+00
8.065450344e-01 0.000000000e+00
8.101952784e-01 0.000000000e+00
8.103382929e-01 0.000000000e+00
8.103973353e-01 0.000000000e+00
8.135175811e-01 0.000000000e+00
8.144341368e-01 0.000000000e+00
8.170554096e-01 0.000000000e+00
8.171940067e-01 0.000000000e+00
8.172116897e-01 0.000000000e+00
8.177459407e-01 0.000000000e+00
8.191077309e-01 0.000000000e+00
8.238455642e-01 0.000000000e+00
8.239805089e-01 0.000000000e+00
8.273722216e-01 0.000000000e+00
8.275813427e-01 0.000000000e+00
8.353731371e-01 0.000000000e+00
8.357435963e-01 0.000000000e+00
8.364501008e-01 0.000000000e+00
8.413190228e-01 0.000000000e+00
8.425462909e-01 0.000000000e+00
8.436437946e-01 0.000000000e+00
8.436668539e-01 0.000000000e+00
8.451972850e-01 0.000000000e+00
8.455487331e-01 0.000000000e+00
8.457120804e-01 0.000000000e+00
8.458723253e-01 0.000000000e+00
8.471130906e-01 0.000000000e+00
8.472739414e-01 0.000000000e+00
8.604350199e-01 0.000000000e+00
8.608561527e-01 0.000000000e+00
8.612013137e-01 0.000000000e+00
8.639225881e-01 0.000000000e+00
8.656539696e-01 0.000000000e+00
8.657968887e-01 0.000000000e+00
8.662785686e-01 0.000000000e+00
8.677675676e-01 0.000000000e+00
8.681206139e-01 0.000000000e+00
8.711900270e-01 0.000000000e+00
8.771029415e-01 0.000000000e+00
8.792523868e-01 0.000000000e+00
8.797596744e-01 0.000000000e+00
8.798492148e-01 0.000000000e+00
8.805779448e-01 0.000000000e+00
8.809566214e-01 0.000000000e+00
8.828349529e-01 0.000000000e+00
8.830473192e-01 0.000000000e+00
8.841978498e-01 0.000000000e+00
8.852411485e-01 0.000000000e+00
8.852499080e-01 0.000000000e+00
8.855036168e-01 0.000000000e+00
8.869504760e-01 0.000000000e+00
8.890703130e-01 0.000000000e+00
8.906439988e-01 0.000000000e+00
8.913113388e-01 0.000000000e+00
8.927220955e-01 0.000000000e+00
8.936437094e-01 0.000000000e+00
8.939902407e-01 0.000000000e+00
8.974117329e-01 0.000000000e+00
8.978637209e-01 0.000000000e+00
8.991211410e-01 0.000000000e+00
9.019558404e-01 0.000000000e+00
9.032498462e-01 0.000000000e+00
9.039908100e-01 0.000000000e+00
9.041942332e-01 0.000000000e+00
9.043829466e-01 0.000000000e+00
9.046260963e-01 0.000000000e+00
9.056996798e-01 0.000000000e+00
9.061726431e-01 0.000000000e+00
9.091310440e-01 0.000000000e+00
9.123892568e-01 0.000000000e+00
9.143250097e-01 0.000000000e+00
9.150642073e-01 0.000000000e+00
9.157375564e-01 0.000000000e+00
9.162764794e-01 0.000000000e+00
9.209830315e-01 0.000000000e+00
9.227796214e-01 0.000000000e+00
9.245660531e-01 0.000000000e+00
9.246028294e-01 0.000000000e+00
9.249923657e-01 0.000000000e+00
9.273123322e-01 0.000000000e+00
9.277318920e-01 0.000000000e+00
9.305850648e-01 0.000000000e+00
9.320742823e-01 0.000000000e+00
9.341224815e-01 0.000000000e+00
9.347652582e-01 0.000000000e+00
9.360008374e-01 0.000000000e+00
9.371380814e-01 0.000000000e+00
9.374059488e-01 0.000000000e+00
9.394924779e-01 0.000000000e+00
9.395357045e-01 0.000000000e+00
9.397218317e-01 0.000000000e+00
9.415882282e-01 0.000000000e+00
9.419614808e-01 0.000000000e+00
9.447410600e-01 0.000000000e+00
9.486100106e-01 0.000000000e+00
9.489406178e-01 0.000000000e+00
9.521828166e-01 0.000000000e+00
9.541915537e-01 0.000000000e+00
9.562228824e-01 0.000000000e+00
9.579676657e-01 0.000000000e+00
9.584425235e-01 0.000000000e+00
9.634766680e-01 0.000000000e+00
9.636122557e-01 0.000000000e+00
9.638224394e-01 0.000000000e+00
9.654124706e-01 0.000000000e+00
9.663651823e-01 0.000000000e+00
9.679937867e-01 0.000000000e+00
9.711884730e-01 0.000000000e+00
9.715745226e-01 0.000000000e+00
9.737557954e-01 0.000000000e+00
9.763539920e-01 0.000000000e+00
9.766945479e-01 0.000000000e+00
9.778884245e-01 0.000000000e+00
9.790303833e-01 0.000000000e+00
9.792853693e-01 0.000000000e+00
9.834779124e-01 0.000000000e+00
9.900394009e-01 0.000000000e+00
9.928178045e-01 0.000000000e+00
9.930905020e-01 0.000000000e+00
9.955409015e-01 0.000000000e+00
9.960577020e-01 0.000000000e+00
1.000445685e+00 0.000000000e+00
1.001808425e+00 0.000000000e+00
1.002398450e+00 0.000000000e+00
1.003390914e+00 0.000000000e+00
1.003913441e+00 0.000000000e+00
1.005997430e+00 0.000000000e+00
1.006565974e+00 0.000000000e+00
1.010362881e+00 0.000000000e+00
1.011723799e+00 0.000000000e+00
1.011956219e+00 0.000000000e+00
1.014395888e+00 0.000000000e+00
1.015005147e+00 0.000000000e+00
1.018849631e+00 0.000000000e+00
1.018961158e+00 0.000000000e+00
1.019002583e+00 0.000000000e+00
1.022421710e+00 0.000000000e+00
1.023949056e+00 0.000000000e+00
1.026336297e+00 0.000000000e+00
1.027166017e+00 0.000000000e+00
1.027258333e+00 0.000000000e+00
1.030961829e+00 0.000000000e+00
1.033218571e+00 0.000000000e+00
1.036183299e+00 0.000000000e+00
1.038415964e+00 0.000000000e+00
1.041353765e+00 0.000000000e+00
1.041972647e+00 0.000000000e+00
1.044166637e+00 0.000000000e+00
1.047756695e+00 0.000000000e+00
1.048175678e+00 0.000000000e+00
1.048515241e+00 0.000000000e+00
1.048762101e+00 0.000000000e+00
1.052263348e+00 0.000000000e+00
1.052618218e+00 0.000000000e+00
1.053769827e+00 0.000000000e+00
1.054704122e+00 0.000000000e+00
1.056564215e+00 0.000000000e+00
1.057486646e+00 0.000000000e+00
1.058650124e+00 0.000000000e+00
1.058810980e+00 0.000000000e+00
1.059153183e+00 0.000000000e+00
1.060965442e+00 0.000000000e+00
1.062379074e+00 0.000000000e+00
1.063082097e+00 0.000000000e+00
1.063533061e+00 0.000000000e+00
1.065212360e+00 0.000000000e+00
1.065411451e+00 0.000000000e+00
1.065908156e+00 0.000000000e+00
1.067432181e+00 0.000000000e+00
1.068392832e+00 0.000000000e+00
1.072258008e+00 0.000000000e+00
1.072692353e+00 0.000000000e+00
1.081009352e+00 0.000000000e+00
1.083064231e+00 0.000000000e+00
1.083192571e+00 0.000000000e+00
1.087149958e+00 0.000000000e+00
1.087777979e+00 0.000000000e+00
1.090388360e+00 0.000000000e+00
1.091136348e+00 0.000000000e+00
1.091928206e+00 0.000000000e+00
1.091954470e+00 0.000000000e+00
1.092989663e+00 0.000000000e+00
1.093779077e+00 0.000000000e+00
1.093972203e+00 0.000000000e+00
1.096554935e+00 0.000000000e+00
